compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
1,5,1,19,4,3,6,4
2,4,1,20,4,3,6,4
3,1,1,21,6,3,3,1
2,1,1,21,6,3,3,1
2,4,1,21,4,3,6,4
4,1,1,23,6,3,3,1
2,1,1,23,6,3,3,1
2,5,1,23,5,3,6,4
3,1,1,24,6,3,3,1
2,2,1,25,6,3,3,1
1,3,2,26,6,3,3,1
4,5,1,26,2,2,7,7
1,2,3,27,6,3,3,1
3,4,1,27,2,3,6,4
1,2,1,27,6,3,3,1
1,4,1,28,4,3,6,4
1,4,2,29,4,3,1,6
1,1,4,30,6,3,3,1
1,3,3,30,4,1,1,6
1,4,2,30,4,3,1,6
4,1,1,30,6,3,3,1
2,3,1,30,6,3,3,1
5,5,1,31,7,7,4,5
1,2,5,32,4,1,1,6
1,2,5,33,4,1,1,6
1,4,4,33,4,1,1,6
2,1,2,33,6,3,3,1
1,2,5,34,1,1,1,6
2,2,3,34,6,3,3,1
1,3,2,34,6,3,3,1
5,2,1,34,7,7,4,5
1,2,5,35,1,1,1,6
1,5,4,36,4,1,1,6
1,5,3,36,4,1,1,6
2,2,3,38,6,3,3,1
2,3,2,39,5,3,6,4
1,3,5,40,4,1,1,6
1,4,4,40,4,1,1,6
1,5,5,41,7,1,1,6
1,5,4,41,4,1,1,6
2,2,3,41,6,3,3,1
2,4,3,41,4,1,1,6
4,2,1,41,6,3,6,1
2,5,4,42,7,1,1,6
2,3,4,43,1,1,1,6
2,5,2,43,4,1,1,6
5,4,1,43,2,4,5,2
1,3,5,44,4,1,1,6
2,1,3,44,6,3,3,1
4,2,1,44,6,3,6,1
5,4,2,46,7,7,4,5
2,5,4,47,7,1,1,6
3,3,1,47,6,3,3,1
2,3,5,48,7,1,1,6
1,4,5,48,4,1,1,6
1,1,5,49,6,3,1,6
5,1,3,49,7,7,7,7
2,3,5,50,7,1,1,6
4,1,3,50,7,4,7,7
5,4,2,50,7,7,4,5
2,2,5,51,3,1,1,6
2,3,5,51,7,1,1,6
1,4,5,51,4,1,1,6
3,3,5,52,7,7,4,5
1,1,5,52,6,3,1,6
3,2,2,52,6,3,3,1
2,3,5,53,7,1,1,6
2,4,5,53,7,7,1,6
1,1,5,53,6,3,1,6
3,2,1,53,6,3,3,1
2,1,4,54,6,3,3,6
5,1,3,54,7,4,7,7
5,1,3,56,7,4,7,7
3,2,3,57,7,3,7,7
4,2,2,58,7,7,4,7
3,2,2,58,6,3,3,1
3,5,2,60,2,7,5,2
5,5,2,61,7,7,4,5
5,4,3,62,7,7,4,5
5,5,2,62,7,7,4,5
3,4,5,63,7,7,2,3
5,2,3,63,7,4,7,7
5,3,2,63,7,7,4,5
4,4,2,63,7,4,5,2
3,5,2,63,2,7,5,2
3,4,3,65,2,4,5,2
4,4,2,65,7,4,5,2
3,5,2,65,2,7,5,2
5,2,3,66,7,4,7,7
3,3,3,67,7,2,7,7
3,4,5,68,7,7,2,3
3,3,3,68,7,2,7,7
