compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr,cluster_car,cluster_cdr,cluster_adr
3,5,4,94,1,11,1,1,3,3
1,5,1,27,2,4,2,4,1,1
1,4,3,42,2,4,2,4,1,3
1,5,1,24,2,2,2,4,1,1
4,5,5,75,1,11,1,1,3,3
1,1,3,25,2,3,2,2,1,2
3,4,5,45,1,13,1,1,3,3
5,5,5,91,1,11,1,1,3,3
3,5,4,83,1,11,1,1,3,3
1,5,3,46,2,8,2,4,1,3
2,3,2,30,2,14,2,2,1,1
3,5,5,95,1,11,1,1,3,3
5,5,5,100,1,11,1,1,3,3
3,5,5,79,1,11,1,1,3,3
4,4,3,91,1,13,1,1,3,3
4,5,4,89,1,11,1,1,3,3
3,5,4,59,1,11,1,1,3,3
4,5,4,85,1,11,1,1,3,3
5,5,5,90,1,11,1,1,3,3
3,5,3,92,1,8,1,1,3,3
5,5,5,99,1,11,1,1,3,3
3,3,1,35,2,14,2,5,2,1
5,1,1,32,2,3,2,5,2,1
1,3,1,38,2,14,2,2,1,1
1,1,1,23,2,3,2,2,1,1
2,5,5,45,2,8,1,4,1,3
4,5,5,70,1,11,1,1,3,3
5,4,4,90,1,17,1,1,3,3
5,3,1,94,2,4,2,5,2,1
5,5,1,31,2,4,2,5,2,1
3,5,5,91,1,11,1,1,3,3
3,3,1,56,2,6,2,5,2,1
1,2,1,24,2,3,2,2,1,1
3,5,5,87,1,11,1,1,3,3
3,4,3,68,1,16,1,1,3,3
1,1,5,53,2,7,1,2,1,2
1,3,4,50,2,6,1,2,1,2
5,4,3,62,1,13,1,1,3,3
5,3,4,89,1,19,1,1,3,2
2,5,5,60,2,8,1,4,1,3
5,5,1,31,2,2,2,5,2,1
1,1,1,24,2,3,2,2,1,1
1,5,4,43,2,8,1,4,1,3
5,5,5,98,1,11,1,1,3,3
4,5,4,88,1,11,1,1,3,3
1,2,1,24,2,3,2,2,1,1
3,5,4,74,1,11,1,1,3,3
3,5,3,62,1,8,1,1,3,3
5,4,5,99,1,17,1,1,3,3
2,5,5,68,2,8,1,4,1,3
5,5,4,91,1,11,1,1,3,3
5,5,5,98,1,11,1,1,3,3
1,2,3,25,2,3,2,2,1,1
3,5,5,76,1,11,1,1,3,3
1,1,1,25,2,3,2,2,1,1
1,5,3,31,2,8,2,4,1,3
4,5,5,96,1,11,1,1,3,3
1,1,1,28,2,3,2,2,1,1
2,5,5,68,2,8,1,4,1,3
5,3,2,67,1,6,1,3,3,3
4,5,2,89,1,11,1,1,3,3
1,3,3,40,2,6,2,2,1,1
1,3,4,50,2,6,1,2,1,2
5,5,3,82,1,11,1,1,3,3
1,4,1,27,2,4,2,4,1,1
3,5,4,81,1,11,1,1,3,3
2,5,3,43,2,8,2,4,1,3
1,3,5,49,2,6,1,2,1,2
5,5,5,90,1,11,1,1,3,3
1,5,3,32,2,8,2,4,1,3
5,5,5,92,1,11,1,1,3,3
4,5,5,89,1,11,1,1,3,3
2,5,4,48,2,8,1,4,1,3
1,5,4,39,2,8,1,4,1,3
4,5,5,99,1,11,1,1,3,3
3,5,5,93,1,11,1,1,3,3
1,5,5,58,2,8,1,4,1,3
1,5,3,46,2,8,2,4,1,3
3,3,3,75,1,6,1,3,3,3
1,3,1,31,2,14,2,2,1,1
1,1,1,24,2,3,2,2,1,1
4,5,5,94,1,11,1,1,3,3
4,5,4,89,1,11,1,1,3,3
3,5,3,82,1,8,1,1,3,3
4,5,4,81,1,11,1,1,3,3
1,3,1,31,2,14,2,2,1,1
5,4,3,62,1,13,1,1,3,3
3,2,4,68,1,15,1,3,3,2
3,3,3,74,1,6,1,3,3,3
5,5,5,98,1,11,1,1,3,3
1,4,3,30,2,4,2,4,1,3
5,5,5,87,1,11,1,1,3,3
3,4,3,73,1,13,1,1,3,3
2,3,4,53,2,6,1,2,1,2
4,5,4,89,1,11,1,1,3,3
3,5,5,82,1,11,1,1,3,3
4,5,5,77,1,11,1,1,3,3
4,4,4,97,1,13,1,1,3,3
3,4,5,90,1,13,1,1,3,3
5,5,5,95,1,11,1,1,3,3
5,5,5,94,1,11,1,1,3,3
3,5,5,87,1,11,1,1,3,3
