compl,accel,decel,answer,pred,loss
1,1,1,1,23.78276443,22.78276443
1,1,1,2,23.78276443,21.78276443
1,1,1,3,23.78276443,20.78276443
1,1,1,4,23.78276443,19.78276443
1,1,1,5,23.78276443,18.78276443
1,1,1,6,23.78276443,17.78276443
1,1,1,7,23.78276443,16.78276443
1,1,1,8,23.78276443,15.78276443
1,1,1,9,23.78276443,14.78276443
1,1,1,10,23.78276443,13.78276443
1,1,1,11,23.78276443,12.78276443
1,1,1,12,23.78276443,11.78276443
1,1,1,13,23.78276443,10.78276443
1,1,1,14,23.78276443,9.782764435
1,1,1,15,23.78276443,8.782764435
1,1,1,16,23.78276443,7.782764435
1,1,1,17,23.78276443,6.782764435
1,1,1,18,23.78276443,5.782764435
1,1,1,19,23.78276443,4.782764435
1,1,1,20,23.78276443,3.782764435
1,1,1,21,23.78276443,2.782764435
1,1,1,22,23.78276443,1.782764435
1,1,1,23,23.78276443,0.782764435
1,1,1,24,23.78276443,-0.217235565
1,1,1,25,23.78276443,-1.217235565
1,1,1,26,23.78276443,-2.217235565
1,1,1,27,23.78276443,-3.217235565
1,1,1,28,23.78276443,-4.217235565
1,1,1,29,23.78276443,-5.217235565
1,1,1,30,23.78276443,-6.217235565
1,1,1,31,23.78276443,-7.217235565
1,1,1,32,23.78276443,-8.217235565
1,1,1,33,23.78276443,-9.217235565
1,1,1,34,23.78276443,-10.21723557
1,1,1,35,23.78276443,-11.21723557
1,1,1,36,23.78276443,-12.21723557
1,1,1,37,23.78276443,-13.21723557
1,1,1,38,23.78276443,-14.21723557
1,1,1,39,23.78276443,-15.21723557
1,1,1,40,23.78276443,-16.21723557
1,1,1,41,23.78276443,-17.21723557
1,1,1,42,23.78276443,-18.21723557
1,1,1,43,23.78276443,-19.21723557
1,1,1,44,23.78276443,-20.21723557
1,1,1,45,23.78276443,-21.21723557
1,1,1,46,23.78276443,-22.21723557
1,1,1,47,23.78276443,-23.21723557
1,1,1,48,23.78276443,-24.21723557
1,1,1,49,23.78276443,-25.21723557
1,1,1,50,23.78276443,-26.21723557
1,1,1,51,23.78276443,-27.21723557
1,1,1,52,23.78276443,-28.21723557
1,1,1,53,23.78276443,-29.21723557
1,1,1,54,23.78276443,-30.21723557
1,1,1,55,23.78276443,-31.21723557
1,1,1,56,23.78276443,-32.21723557
1,1,1,57,23.78276443,-33.21723557
1,1,1,58,23.78276443,-34.21723557
1,1,1,59,23.78276443,-35.21723557
1,1,1,60,23.78276443,-36.21723557
1,1,1,61,23.78276443,-37.21723557
1,1,1,62,23.78276443,-38.21723557
1,1,1,63,23.78276443,-39.21723557
1,1,1,64,23.78276443,-40.21723557
1,1,1,65,23.78276443,-41.21723557
1,1,1,66,23.78276443,-42.21723557
1,1,1,67,23.78276443,-43.21723557
1,1,1,68,23.78276443,-44.21723557
1,1,1,69,23.78276443,-45.21723557
1,1,1,70,23.78276443,-46.21723557
1,1,1,71,23.78276443,-47.21723557
1,1,1,72,23.78276443,-48.21723557
1,1,1,73,23.78276443,-49.21723557
1,1,1,74,23.78276443,-50.21723557
1,1,1,75,23.78276443,-51.21723557
1,1,1,76,23.78276443,-52.21723557
1,1,1,77,23.78276443,-53.21723557
1,1,1,78,23.78276443,-54.21723557
1,1,1,79,23.78276443,-55.21723557
1,1,1,80,23.78276443,-56.21723557
1,1,1,81,23.78276443,-57.21723557
1,1,1,82,23.78276443,-58.21723557
1,1,1,83,23.78276443,-59.21723557
1,1,1,84,23.78276443,-60.21723557
1,1,1,85,23.78276443,-61.21723557
1,1,1,86,23.78276443,-62.21723557
1,1,1,87,23.78276443,-63.21723557
1,1,1,88,23.78276443,-64.21723557
1,1,1,89,23.78276443,-65.21723557
1,1,1,90,23.78276443,-66.21723557
1,1,1,91,23.78276443,-67.21723557
1,1,1,92,23.78276443,-68.21723557
1,1,1,93,23.78276443,-69.21723557
1,1,1,94,23.78276443,-70.21723557
1,1,1,95,23.78276443,-71.21723557
1,1,1,96,23.78276443,-72.21723557
1,1,1,97,23.78276443,-73.21723557
1,1,1,98,23.78276443,-74.21723557
1,1,1,99,23.78276443,-75.21723557
1,1,1,100,23.78276443,-76.21723557
1,1,2,1,28.06876945,27.06876945
1,1,2,2,28.06876945,26.06876945
1,1,2,3,28.06876945,25.06876945
1,1,2,4,28.06876945,24.06876945
1,1,2,5,28.06876945,23.06876945
1,1,2,6,28.06876945,22.06876945
1,1,2,7,28.06876945,21.06876945
1,1,2,8,28.06876945,20.06876945
1,1,2,9,28.06876945,19.06876945
1,1,2,10,28.06876945,18.06876945
1,1,2,11,28.06876945,17.06876945
1,1,2,12,28.06876945,16.06876945
1,1,2,13,28.06876945,15.06876945
1,1,2,14,28.06876945,14.06876945
1,1,2,15,28.06876945,13.06876945
1,1,2,16,28.06876945,12.06876945
1,1,2,17,28.06876945,11.06876945
1,1,2,18,28.06876945,10.06876945
1,1,2,19,28.06876945,9.068769455
1,1,2,20,28.06876945,8.068769455
1,1,2,21,28.06876945,7.068769455
1,1,2,22,28.06876945,6.068769455
1,1,2,23,28.06876945,5.068769455
1,1,2,24,28.06876945,4.068769455
1,1,2,25,28.06876945,3.068769455
1,1,2,26,28.06876945,2.068769455
1,1,2,27,28.06876945,1.068769455
1,1,2,28,28.06876945,0.068769455
1,1,2,29,28.06876945,-0.931230545
1,1,2,30,28.06876945,-1.931230545
1,1,2,31,28.06876945,-2.931230545
1,1,2,32,28.06876945,-3.931230545
1,1,2,33,28.06876945,-4.931230545
1,1,2,34,28.06876945,-5.931230545
1,1,2,35,28.06876945,-6.931230545
1,1,2,36,28.06876945,-7.931230545
1,1,2,37,28.06876945,-8.931230545
1,1,2,38,28.06876945,-9.931230545
1,1,2,39,28.06876945,-10.93123055
1,1,2,40,28.06876945,-11.93123055
1,1,2,41,28.06876945,-12.93123055
1,1,2,42,28.06876945,-13.93123055
1,1,2,43,28.06876945,-14.93123055
1,1,2,44,28.06876945,-15.93123055
1,1,2,45,28.06876945,-16.93123055
1,1,2,46,28.06876945,-17.93123055
1,1,2,47,28.06876945,-18.93123055
1,1,2,48,28.06876945,-19.93123055
1,1,2,49,28.06876945,-20.93123055
1,1,2,50,28.06876945,-21.93123055
1,1,2,51,28.06876945,-22.93123055
1,1,2,52,28.06876945,-23.93123055
1,1,2,53,28.06876945,-24.93123055
1,1,2,54,28.06876945,-25.93123055
1,1,2,55,28.06876945,-26.93123055
1,1,2,56,28.06876945,-27.93123055
1,1,2,57,28.06876945,-28.93123055
1,1,2,58,28.06876945,-29.93123055
1,1,2,59,28.06876945,-30.93123055
1,1,2,60,28.06876945,-31.93123055
1,1,2,61,28.06876945,-32.93123055
1,1,2,62,28.06876945,-33.93123055
1,1,2,63,28.06876945,-34.93123055
1,1,2,64,28.06876945,-35.93123055
1,1,2,65,28.06876945,-36.93123055
1,1,2,66,28.06876945,-37.93123055
1,1,2,67,28.06876945,-38.93123055
1,1,2,68,28.06876945,-39.93123055
1,1,2,69,28.06876945,-40.93123055
1,1,2,70,28.06876945,-41.93123055
1,1,2,71,28.06876945,-42.93123055
1,1,2,72,28.06876945,-43.93123055
1,1,2,73,28.06876945,-44.93123055
1,1,2,74,28.06876945,-45.93123055
1,1,2,75,28.06876945,-46.93123055
1,1,2,76,28.06876945,-47.93123055
1,1,2,77,28.06876945,-48.93123055
1,1,2,78,28.06876945,-49.93123055
1,1,2,79,28.06876945,-50.93123055
1,1,2,80,28.06876945,-51.93123055
1,1,2,81,28.06876945,-52.93123055
1,1,2,82,28.06876945,-53.93123055
1,1,2,83,28.06876945,-54.93123055
1,1,2,84,28.06876945,-55.93123055
1,1,2,85,28.06876945,-56.93123055
1,1,2,86,28.06876945,-57.93123055
1,1,2,87,28.06876945,-58.93123055
1,1,2,88,28.06876945,-59.93123055
1,1,2,89,28.06876945,-60.93123055
1,1,2,90,28.06876945,-61.93123055
1,1,2,91,28.06876945,-62.93123055
