compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss,,,,,
3,5,4,8,2,11,1,80.4,74,6.4,,,,,
2,5,4,10,1,11,1,52.5,46,6.5,,,,,
4,5,5,3,2,15,1,91.6,98,6.4,,,,,
1,5,5,10,2,15,1,48.4,63,14.6,,,,,
3,5,3,8,1,9,1,70.4,92,21.6,,,,,
3,4,5,13,2,14,1,77.3,78,0.7,,,,,
1,5,3,10,1,9,2,35,38,3,,,,,
3,2,5,2,2,13,2,73.5,76,2.5,,,,,
2,5,5,10,2,15,1,65.5,82,16.5,,,,,
3,5,3,8,1,9,1,70.4,63,7.4,,,,,
1,2,1,5,1,7,2,25.5,23,2.5,,,,,
3,5,5,8,2,15,1,86.4,98,11.6,,,,,
4,5,2,3,1,9,1,79.6,77,2.6,,,,,
4,4,4,7,2,6,1,89.6,92,2.4,,,,,
4,5,5,3,2,15,1,91.6,75,16.6,,,,,
5,5,5,11,2,15,1,94.6,97,2.4,,,,,
4,5,5,3,2,15,1,91.6,99,7.4,,,,,
3,4,3,13,1,2,1,70.4,90,19.6,,,,,
3,4,5,13,2,14,1,77.3,90,12.7,,,,,
3,3,3,6,1,1,2,69.5,65,4.5,,,,,
3,3,1,6,1,4,2,53.4,56,2.6,,,,,
2,5,3,10,1,9,1,52.3,63,10.7,,,,,
2,5,3,10,1,9,1,52.3,55,2.7,,,,,
1,4,4,9,1,6,2,43.7,51,7.3,,,,,
3,5,5,8,2,15,1,86.4,56,30.4,,,,,
2,5,3,10,1,9,1,52.3,41,11.3,,,,,
2,4,3,14,1,2,2,48,41,7,,,,,
3,4,3,13,1,2,1,70.4,49,21.4,,,,,
3,5,5,8,2,15,1,86.4,82,4.4,,,,,
5,5,5,11,2,15,1,94.6,95,0.4,,,,,
5,3,4,4,2,3,1,89.4,92,2.6,,,,,
5,1,5,1,2,13,1,87.4,94,6.6,,,,,
4,5,5,3,2,15,1,91.6,97,5.4,,,,,
1,3,2,15,1,4,2,31.9,33,1.1,,,,,
4,5,5,3,2,15,1,91.6,95,3.4,,,,,
1,1,1,12,1,10,2,25.4,23,2.4,,,,,
3,5,5,8,2,15,1,86.4,93,6.6,,,,,
3,5,3,8,1,9,1,70.4,73,2.6,,,,,
2,5,5,10,2,15,1,65.5,48,17.5,,,,,
5,5,5,11,2,15,1,94.6,94,0.6,,,,,
3,5,4,8,2,11,1,80.4,81,0.6,,,,,
5,5,5,11,2,15,1,94.6,99,4.4,,,,,
3,5,5,8,2,15,1,86.4,97,10.6,,,,,
2,4,3,14,1,2,2,48,63,15,,,,,
3,4,3,13,1,2,1,70.4,73,2.6,,,,,
5,3,3,4,2,1,1,89.8,95,5.2,,,,,
3,5,5,8,2,15,1,86.4,94,7.6,,,,,
3,5,5,8,2,15,1,86.4,92,5.6,,,,,
2,4,3,14,1,2,2,48,53,5,,,,,
5,5,5,11,2,15,1,94.6,94,0.6,,,,,
1,3,1,15,1,4,2,30,31,1,,,,,
1,3,3,15,1,1,2,41.6,25,16.6,,,,,
1,5,3,10,1,9,2,35,31,4,,,,,
3,5,3,8,1,9,1,70.4,76,5.6,,,,,
4,4,4,7,2,6,1,89.6,91,1.4,,,,,
2,3,1,15,1,4,2,31.6,29,2.6,,,,,
3,5,5,8,2,15,1,86.4,93,6.6,,,,,
1,5,5,10,2,15,1,48.4,28,20.4,,,,,
3,5,5,8,2,15,1,86.4,77,9.4,,,,,
5,5,3,11,2,9,1,82.4,95,12.6,,,,,
1,2,3,5,1,12,2,27.5,25,2.5,,,,,
5,5,5,11,2,15,1,94.6,88,6.6,,,,,
3,3,5,6,2,5,1,68.6,43,25.6,,,,,
5,5,3,11,2,9,1,82.4,85,2.6,,,,,
2,5,3,10,1,9,1,52.3,43,9.3,,,,,
3,4,3,13,1,2,1,70.4,80,9.6,,,,,
3,5,5,8,2,15,1,86.4,89,2.6,,,,,
3,3,5,6,2,5,1,68.6,66,2.6,,,,,
1,4,3,9,1,2,2,40.6,38,2.6,,,,,
1,5,5,10,2,15,1,48.4,45,3.4,,,,,
4,5,5,3,2,15,1,91.6,88,3.6,,,,,
5,5,5,11,2,15,1,94.6,92,2.6,,,,,
