"","compl","accel","decel","clust_ca","clust_cd","clust_ad","clust_cad","pred","answer","loss"
"1",1,1,5,7,3,2,2,44.4,53,8.6
"2",1,3,5,9,3,1,3,48.5,49,0.5
"3",1,5,5,8,3,1,3,49.2,63,13.8
"4",1,5,5,8,3,1,3,49.2,58,8.8
"5",1,5,5,8,3,1,3,49.2,45,4.2
"6",1,5,5,8,3,1,3,49.2,28,21.2
"7",1,5,5,8,3,1,3,49.2,28,21.2
"8",1,3,4,9,2,1,3,45.8,50,4.2
"9",1,3,4,9,2,1,3,45.8,50,4.2
"10",1,4,4,2,2,1,3,42.5,51,8.5
"11",1,5,4,8,2,1,3,46.5,43,3.5
"12",1,5,4,8,2,1,3,46.5,39,7.5
"13",1,1,3,7,2,2,2,35.2,25,10.2
"14",1,2,3,14,2,2,2,39.8,25,14.8
"15",1,2,3,14,2,2,2,39.8,25,14.8
"16",1,3,3,9,2,2,2,37.6,25,12.6
"17",1,4,3,2,2,1,3,36,42,6
"18",1,4,3,2,2,1,3,36,42,6
"19",1,4,3,2,2,1,3,36,38,2
"20",1,4,3,2,2,1,3,36,30,6
"21",1,5,3,8,2,1,3,40,46,6
"22",1,5,3,8,2,1,3,40,46,6
"23",1,5,3,8,2,1,3,40,38,2
"24",1,5,3,8,2,1,3,40,32,8
"25",1,5,3,8,2,1,3,40,31,9
"26",1,5,3,8,2,1,3,40,31,9
"27",1,3,2,9,2,2,2,31.1,33,1.9
"28",1,1,1,7,2,2,2,22.1,28,5.9
"29",1,1,1,7,2,2,2,22.1,25,2.9
"30",1,1,1,7,2,2,2,22.1,24,1.9
"31",1,1,1,7,2,2,2,22.1,24,1.9
"32",1,1,1,7,2,2,2,22.1,23,0.899999999999999
"33",1,1,1,7,2,2,2,22.1,23,0.899999999999999
"34",1,2,1,14,2,2,2,26.7,24,2.7
"35",1,2,1,14,2,2,2,26.7,24,2.7
"36",1,2,1,14,2,2,2,26.7,23,3.7
"37",1,3,1,9,2,2,2,24.5,38,13.5
"38",1,3,1,9,2,2,2,24.5,31,6.5
"39",1,3,1,9,2,2,2,24.5,31,6.5
"40",1,3,1,9,2,2,2,24.5,31,6.5
"41",1,4,1,2,2,2,2,21.2,27,5.8
"42",1,5,1,8,2,2,3,20.3,27,6.7
"43",1,5,1,8,2,2,3,20.3,24,3.7
"44",1,5,1,8,2,2,3,20.3,24,3.7
"45",2,5,5,15,3,1,3,60.8,68,7.2
"46",2,5,5,15,3,1,3,60.8,68,7.2
"47",2,5,5,15,3,1,3,60.8,60,0.799999999999997
"48",2,5,5,15,3,1,3,60.8,48,12.8
"49",2,5,5,15,3,1,3,60.8,45,15.8
"50",2,3,4,10,3,1,3,50.1,53,2.9
"51",2,5,4,15,3,1,3,54.2,48,6.2
"52",2,5,4,15,3,1,3,54.2,46,8.2
