compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss
1,1,5,7,3,2,2,47.6,53,5.4
1,3,5,9,3,1,3,49.2,49,0.2
1,5,5,8,3,1,3,45.4,63,17.6
1,5,5,8,3,1,3,45.4,58,12.6
1,5,5,8,3,1,3,45.4,45,0.4
1,5,5,8,3,1,3,45.4,28,17.4
1,5,5,8,3,1,3,45.4,28,17.4
1,3,4,9,2,1,3,48.2,50,1.8
1,3,4,9,2,1,3,48.2,50,1.8
1,4,4,2,2,1,3,46.1,51,4.9
1,5,4,8,2,1,3,42.7,43,0.3
1,5,4,8,2,1,3,42.7,39,3.7
1,1,3,7,2,2,2,27.1,25,2.1
1,2,3,14,2,2,2,26.4,25,1.4
1,2,3,14,2,2,2,26.4,25,1.4
1,3,3,9,2,2,2,30.4,25,5.4
1,4,3,2,2,1,3,40.8,42,1.2
1,4,3,2,2,1,3,40.8,42,1.2
1,4,3,2,2,1,3,40.8,38,2.8
1,4,3,2,2,1,3,40.8,30,10.8
1,5,3,8,2,1,3,39.1,46,6.9
1,5,3,8,2,1,3,39.1,46,6.9
1,5,3,8,2,1,3,39.1,38,1.1
1,5,3,8,2,1,3,39.1,32,7.1
1,5,3,8,2,1,3,39.1,31,8.1
1,5,3,8,2,1,3,39.1,31,8.1
1,3,2,9,2,2,2,30.9,33,2.1
1,1,1,7,2,2,2,25.3,28,2.7
1,1,1,7,2,2,2,25.3,25,0.3
1,1,1,7,2,2,2,25.3,24,1.3
1,1,1,7,2,2,2,25.3,24,1.3
1,1,1,7,2,2,2,25.3,23,2.3
1,1,1,7,2,2,2,25.3,23,2.3
1,2,1,14,2,2,2,25.2,24,1.2
1,2,1,14,2,2,2,25.2,24,1.2
1,2,1,14,2,2,2,25.2,23,2.2
1,3,1,9,2,2,2,30.7,38,7.3
1,3,1,9,2,2,2,30.7,31,0.3
1,3,1,9,2,2,2,30.7,31,0.3
1,3,1,9,2,2,2,30.7,31,0.3
1,4,1,2,2,2,2,30.6,27,3.6
1,5,1,8,2,2,3,26.5,27,0.5
1,5,1,8,2,2,3,26.5,24,2.5
1,5,1,8,2,2,3,26.5,24,2.5
2,5,5,15,3,1,3,55.4,68,12.6
2,5,5,15,3,1,3,55.4,68,12.6
2,5,5,15,3,1,3,55.4,60,4.6
2,5,5,15,3,1,3,55.4,48,7.4
2,5,5,15,3,1,3,55.4,45,10.4
2,3,4,10,3,1,3,51.5,53,1.5
2,5,4,15,3,1,3,51.6,48,3.6
2,5,4,15,3,1,3,51.6,46,5.6
2,4,3,2,2,1,3,49.1,63,13.9
2,4,3,2,2,1,3,49.1,53,3.9
2,4,3,2,2,1,3,49.1,41,8.1
2,5,3,15,2,1,3,49.5,63,13.5
2,5,3,15,2,1,3,49.5,55,5.5
2,5,3,15,2,1,3,49.5,43,6.5
2,5,3,15,2,1,3,49.5,43,6.5
2,5,3,15,2,1,3,49.5,41,8.5
2,3,2,10,2,2,2,31.5,30,1.5
2,1,1,7,2,2,2,26.8,24,2.8
2,3,1,10,2,2,2,31.1,29,2.1
3,3,5,5,3,1,1,62,66,4
3,3,5,5,3,1,1,62,66,4
3,3,5,5,3,1,1,62,43,19
3,4,5,12,3,1,1,66.6,78,11.4
3,4,5,12,3,1,1,66.6,45,21.6
3,5,5,13,3,1,1,76.6,82,5.4
3,5,5,13,3,1,1,76.6,82,5.4
3,5,5,13,3,1,1,76.6,79,2.4
3,5,5,13,3,1,1,76.6,77,0.4
3,5,5,13,3,1,1,76.6,76,0.6
3,5,5,13,3,1,1,76.6,56,20.6
3,2,4,6,3,2,2,60.2,68,7.8
3,5,4,13,3,1,1,76,83,7
3,5,4,13,3,1,1,76,81,5
3,5,4,13,3,1,1,76,81,5
3,5,4,13,3,1,1,76,74,2
3,5,4,13,3,1,1,76,74,2
3,5,4,13,3,1,1,76,59,17
3,3,3,5,2,2,2,55,65,10
3,4,3,12,2,1,3,57.9,68,10.1
3,4,3,12,2,1,3,57.9,49,8.9
3,5,3,13,2,1,3,59.6,63,3.4
3,5,3,13,2,1,3,59.6,62,2.4
3,3,1,5,2,2,2,47.8,56,8.2
3,3,1,5,2,2,2,47.8,56,8.2
3,3,1,5,2,2,2,47.8,35,12.8
4,5,5,13,3,1,1,86.7,99,12.3
4,5,5,13,3,1,1,86.7,99,12.3
4,5,5,13,3,1,1,86.7,98,11.3
4,5,5,13,3,1,1,86.7,97,10.3
4,5,5,13,3,1,1,86.7,96,9.3
4,5,5,13,3,1,1,86.7,95,8.3
4,5,5,13,3,1,1,86.7,94,7.3
4,5,5,13,3,1,1,86.7,89,2.3
4,5,5,13,3,1,1,86.7,88,1.3
4,5,5,13,3,1,1,86.7,77,9.7
4,5,5,13,3,1,1,86.7,75,11.7
4,5,5,13,3,1,1,86.7,75,11.7
4,5,5,13,3,1,1,86.7,70,16.7
4,4,4,12,1,1,1,90.8,97,6.2
4,4,4,12,1,1,1,90.8,92,1.2
4,4,4,12,1,1,1,90.8,91,0.2
4,5,4,13,1,1,1,87.3,89,1.7
4,5,4,13,1,1,1,87.3,89,1.7
4,5,4,13,1,1,1,87.3,89,1.7
4,5,4,13,1,1,1,87.3,89,1.7
4,5,4,13,1,1,1,87.3,88,0.7
4,5,4,13,1,1,1,87.3,85,2.3
4,5,4,13,1,1,1,87.3,81,6.3
4,5,2,13,1,1,1,76.5,77,0.5
5,1,5,3,1,2,1,81.3,94,12.7
5,4,5,4,1,1,1,89.2,99,9.8
5,5,5,1,1,1,1,92.6,100,7.4
5,5,5,1,1,1,1,92.6,99,6.4
5,5,5,1,1,1,1,92.6,99,6.4
5,5,5,1,1,1,1,92.6,98,5.4
5,5,5,1,1,1,1,92.6,98,5.4
5,5,5,1,1,1,1,92.6,98,5.4
5,5,5,1,1,1,1,92.6,97,4.4
5,5,5,1,1,1,1,92.6,95,2.4
5,5,5,1,1,1,1,92.6,95,2.4
5,5,5,1,1,1,1,92.6,94,1.4
5,5,5,1,1,1,1,92.6,94,1.4
5,5,5,1,1,1,1,92.6,94,1.4
5,5,5,1,1,1,1,92.6,92,0.6
5,5,5,1,1,1,1,92.6,92,0.6
5,5,5,1,1,1,1,92.6,91,1.6
5,5,5,1,1,1,1,92.6,90,2.6
5,5,5,1,1,1,1,92.6,90,2.6
5,5,5,1,1,1,1,92.6,88,4.6
5,5,5,1,1,1,1,92.6,87,5.6
5,3,4,11,1,1,1,88.6,92,3.4
5,3,4,11,1,1,1,88.6,89,0.4
5,4,4,4,1,1,1,87.1,90,2.9
5,5,4,1,1,1,1,89.1,91,1.9
5,5,4,1,1,1,1,89.1,76,13.1
5,3,3,11,1,2,1,76.2,95,18.8
5,4,3,4,1,1,1,75,62,13
5,4,3,4,1,1,1,75,62,13
5,5,3,1,1,1,1,85.2,95,9.8
5,5,3,1,1,1,1,85.2,85,0.2
5,5,3,1,1,1,1,85.2,82,3.2
5,3,2,11,1,2,1,70.6,67,3.6
5,1,1,3,1,2,2,41.7,32,9.7
5,5,1,1,1,2,1,46.5,31,15.5
5,5,1,1,1,2,1,46.5,31,15.5
