compl,accel,decel,clust_ca,clust_cd,clust_ad,clust_cad,pred,answer,loss
5,5,5,10,2,2,2,93.4,100,6.6
5,5,5,10,2,2,2,93.4,99,5.6
5,4,5,7,2,2,2,93.4,99,5.6
4,5,5,13,2,2,2,93.3,99,5.7
4,5,5,13,2,2,2,93.3,99,5.7
5,5,5,10,2,2,2,93.4,99,5.6
5,5,5,10,2,2,2,93.4,98,4.6
5,5,5,10,2,2,2,93.4,98,4.6
5,5,5,10,2,2,2,93.4,98,4.6
4,5,5,13,2,2,2,93.3,98,4.7
4,4,4,5,2,2,2,91.1,97,5.9
5,5,5,10,2,2,2,93.4,97,3.6
4,5,5,13,2,2,2,93.3,97,3.7
4,5,5,13,2,2,2,93.3,96,2.7
5,5,5,10,2,2,2,93.4,95,1.6
5,5,5,10,2,2,2,93.4,95,1.6
4,5,5,13,2,2,2,93.3,95,1.7
5,3,3,9,2,1,2,90.3,95,4.7
5,5,3,10,2,2,2,90.1,95,4.9
4,5,5,13,2,2,2,93.3,94,0.7
5,5,5,10,2,2,2,93.4,94,0.6
5,1,5,15,2,1,2,89.8,94,4.2
5,5,5,10,2,2,2,93.4,94,0.6
5,5,5,10,2,2,2,93.4,94,0.6
5,5,5,10,2,2,2,93.4,92,1.4
4,4,4,5,2,2,2,91.1,92,0.9
5,3,4,9,2,2,2,91,92,1
5,5,5,10,2,2,2,93.4,92,1.4
5,5,5,10,2,2,2,93.4,91,2.4
5,5,4,10,2,2,2,90.7,91,0.3
4,4,4,5,2,2,2,91.1,91,0.1
5,5,5,10,2,2,2,93.4,90,3.4
5,4,4,7,2,2,2,91.6,90,1.6
5,5,5,10,2,2,2,93.4,90,3.4
4,5,4,13,2,2,2,89.6,89,0.6
5,3,4,9,2,2,2,91,89,2
4,5,5,13,2,2,2,93.3,89,4.3
4,5,4,13,2,2,2,89.6,89,0.6
4,5,4,13,2,2,2,89.6,89,0.6
4,5,4,13,2,2,2,89.6,89,0.6
4,5,4,13,2,2,2,89.6,88,1.6
5,5,5,10,2,2,2,93.4,88,5.4
4,5,5,13,2,2,2,93.3,88,5.3
5,5,5,10,2,2,2,93.4,87,6.4
4,5,4,13,2,2,2,89.6,85,4.6
5,5,3,10,2,2,2,90.1,85,5.1
3,5,4,2,2,2,2,80.1,83,2.9
3,5,3,2,1,2,2,75.5,82,6.5
3,5,5,2,2,2,2,80.7,82,1.3
2,5,5,14,2,2,2,74.3,82,7.7
3,5,5,2,2,2,2,80.7,82,1.3
3,5,4,2,2,2,2,80.1,81,0.9
3,5,4,2,2,2,2,80.1,81,0.9
3,4,3,5,1,2,2,75.2,80,4.8
3,5,5,2,2,2,2,80.7,79,1.7
3,4,5,5,2,2,2,81.7,78,3.7
4,5,2,13,1,2,2,74.1,77,2.9
3,5,5,2,2,2,2,80.7,77,3.7
3,5,5,2,2,2,2,80.7,76,4.7
3,2,5,6,2,2,2,80,76,4
3,5,3,2,1,2,2,75.5,76,0.5
3,3,3,6,1,1,1,64.8,75,10.2
3,5,4,2,2,2,2,80.1,74,6.1
3,3,3,6,1,1,1,64.8,74,9.2
3,5,4,2,2,2,2,80.1,74,6.1
3,4,3,5,1,2,2,75.2,73,2.2
3,5,3,2,1,2,2,75.5,73,2.5
3,4,3,5,1,2,2,75.2,73,2.2
3,3,3,6,1,1,1,64.8,65,0.2
1,5,5,11,1,2,2,54.4,63,8.6
2,5,3,14,1,2,2,50.3,63,12.7
2,4,3,8,1,2,1,48.6,63,14.4
1,5,5,11,1,2,2,54.4,58,3.6
3,3,1,6,1,1,1,56.3,56,0.3
3,3,1,6,1,1,1,56.3,56,0.3
2,5,3,14,1,2,2,50.3,55,4.7
1,1,5,3,1,1,1,40,53,13
2,3,4,4,1,2,1,50.2,53,2.8
2,4,3,8,1,2,1,48.6,53,4.4
1,4,4,8,1,2,1,46.9,51,4.1
1,3,4,4,1,2,1,48.4,50,1.6
1,3,4,4,1,2,1,48.4,50,1.6
1,3,5,4,1,2,1,49.3,49,0.3
2,5,4,14,1,2,2,50.5,48,2.5
1,5,3,11,1,2,1,43.7,46,2.3
1,5,3,11,1,2,1,43.7,46,2.3
2,5,4,14,1,2,2,50.5,46,4.5
1,5,5,11,1,2,2,54.4,45,9.4
1,5,4,11,1,2,2,50.9,43,7.9
2,5,3,14,1,2,2,50.3,43,7.3
2,5,3,14,1,2,2,50.3,43,7.3
1,4,3,8,1,2,1,41.9,42,0.1
1,4,3,8,1,2,1,41.9,42,0.1
2,5,3,14,1,2,2,50.3,41,9.3
2,4,3,8,1,2,1,48.6,41,7.6
1,3,1,4,1,1,1,31.2,38,6.8
1,4,3,8,1,2,1,41.9,38,3.9
1,3,2,4,1,1,1,31.9,33,1.1
1,3,1,4,1,1,1,31.2,31,0.2
1,3,1,4,1,1,1,31.2,31,0.2
1,3,1,4,1,1,1,31.2,31,0.2
1,4,3,8,1,2,1,41.9,30,11.9
2,3,1,4,1,1,1,32.3,29,3.3
1,1,1,3,1,1,1,26.5,28,1.5
1,5,1,11,1,1,1,27.9,27,0.9
1,4,1,8,1,1,1,29.5,27,2.5
1,1,3,3,1,1,1,29.2,25,4.2
1,2,3,12,1,1,1,27.8,25,2.8
1,1,1,3,1,1,1,26.5,25,1.5
1,3,3,4,1,1,1,33.9,25,8.9
1,2,3,12,1,1,1,27.8,25,2.8
1,5,1,11,1,1,1,27.9,24,3.9
1,2,1,12,1,1,1,25.8,24,1.8
1,1,1,3,1,1,1,26.5,24,2.5
1,2,1,12,1,1,1,25.8,24,1.8
1,1,1,3,1,1,1,26.5,24,2.5
2,1,1,1,1,1,1,27.7,24,3.7
1,5,1,11,1,1,1,27.9,24,3.9
1,1,1,3,1,1,1,26.5,23,3.5
1,2,1,12,1,1,1,25.8,23,2.8
1,1,1,3,1,1,1,26.5,23,3.5
