"","compl","accel","decel","clust_ca","clust_cd","clust_ad","clust_cad","pred","answer","loss"
"1",5,5,5,9,7,2,2,94.6,100,5.40000000000001
"2",5,5,5,9,7,2,2,94.6,99,4.40000000000001
"3",5,4,5,6,7,2,2,96.4,99,2.59999999999999
"4",4,5,5,12,8,2,2,94.3,99,4.7
"5",4,5,5,12,8,2,2,94.3,99,4.7
"6",5,5,5,9,7,2,2,94.6,99,4.40000000000001
"7",5,5,5,9,7,2,2,94.6,98,3.40000000000001
"8",5,5,5,9,7,2,2,94.6,98,3.40000000000001
"9",5,5,5,9,7,2,2,94.6,98,3.40000000000001
"10",4,5,5,12,8,2,2,94.3,98,3.7
"11",4,4,4,4,14,2,2,89.4,97,7.59999999999999
"12",5,5,5,9,7,2,2,94.6,97,2.40000000000001
"13",4,5,5,12,8,2,2,94.3,97,2.7
"14",4,5,5,12,8,2,2,94.3,96,1.7
"15",5,5,5,9,7,2,2,94.6,95,0.400000000000006
"16",5,5,5,9,7,2,2,94.6,95,0.400000000000006
"17",4,5,5,12,8,2,2,94.3,95,0.700000000000003
"18",5,3,3,8,6,1,2,92.4,95,2.59999999999999
"19",5,5,3,9,6,2,2,87.6,95,7.40000000000001
"20",4,5,5,12,8,2,2,94.3,94,0.299999999999997
"21",5,5,5,9,7,2,2,94.6,94,0.599999999999994
"22",5,1,5,5,7,1,2,91.4,94,2.59999999999999
"23",5,5,5,9,7,2,2,94.6,94,0.599999999999994
"24",5,5,5,9,7,2,2,94.6,94,0.599999999999994
"25",5,5,5,9,7,2,2,94.6,92,2.59999999999999
"26",4,4,4,4,14,2,2,89.4,92,2.59999999999999
"27",5,3,4,8,14,1,2,89.4,92,2.59999999999999
"28",5,5,5,9,7,2,2,94.6,92,2.59999999999999
"29",5,5,5,9,7,2,2,94.6,91,3.59999999999999
"30",5,5,4,9,14,2,2,89.8,91,1.2
"31",4,4,4,4,14,2,2,89.4,91,1.59999999999999
"32",5,5,5,9,7,2,2,94.6,90,4.59999999999999
"33",5,4,4,6,14,2,2,92.6,90,2.59999999999999
"34",5,5,5,9,7,2,2,94.6,90,4.59999999999999
"35",4,5,4,12,14,2,2,86.4,89,2.59999999999999
"36",5,3,4,8,14,1,2,89.4,89,0.400000000000006
"37",4,5,5,12,8,2,2,94.3,89,5.3
"38",4,5,4,12,14,2,2,86.4,89,2.59999999999999
"39",4,5,4,12,14,2,2,86.4,89,2.59999999999999
"40",4,5,4,12,14,2,2,86.4,89,2.59999999999999
"41",4,5,4,12,14,2,2,86.4,88,1.59999999999999
"42",5,5,5,9,7,2,2,94.6,88,6.59999999999999
"43",4,5,5,12,8,2,2,94.3,88,6.3
"44",5,5,5,9,7,2,2,94.6,87,7.59999999999999
"45",4,5,4,12,14,2,2,86.4,85,1.40000000000001
"46",5,5,3,9,6,2,2,87.6,85,2.59999999999999
"47",3,5,4,14,10,2,1,78.4,83,4.59999999999999
"48",3,5,3,14,11,2,1,73.4,82,8.59999999999999
"49",3,5,5,14,5,2,2,79.4,82,2.59999999999999
"50",2,5,5,1,3,2,1,59.7,82,22.3
"51",3,5,5,14,5,2,2,79.4,82,2.59999999999999
"52",3,5,4,14,10,2,1,78.4,81,2.59999999999999
"53",4,5,4,12,14,2,2,86.4,81,5.40000000000001
"54",3,5,4,14,10,2,1,78.4,81,2.59999999999999
"55",3,4,3,15,11,2,1,70.6,80,9.40000000000001
"56",3,5,5,14,5,2,2,79.4,79,0.400000000000006
