compliance,acceleration,deceleration,result,cluster3,cluster2
3,5,4,94,4,3
1,5,1,27,5,1
1,4,3,42,2,7
1,5,1,24,5,1
4,5,5,75,6,4
1,1,3,25,5,1
3,4,5,45,2,7
5,5,5,91,3,2
3,5,4,83,6,5
1,5,3,46,2,7
2,3,2,30,5,1
3,5,5,95,4,3
5,5,5,100,4,3
3,5,5,79,6,5
4,4,3,91,3,2
4,5,4,89,3,2
3,5,4,59,7,6
4,5,4,85,3,5
5,5,5,90,3,2
3,5,3,92,3,2
5,5,5,99,4,3
3,3,1,35,5,1
5,1,1,32,5,1
1,3,1,38,2,7
1,1,1,23,5,1
2,5,5,45,2,7
4,5,5,70,7,4
5,4,4,90,3,2
5,3,1,94,4,3
5,5,1,31,5,1
3,5,5,91,3,2
3,3,1,56,1,6
1,2,1,24,5,1
3,5,5,87,3,2
3,4,3,68,7,4
1,1,5,53,1,6
1,3,4,50,1,7
5,4,3,62,7,6
5,3,4,89,3,2
2,5,5,60,7,6
5,5,1,31,5,1
1,1,1,24,5,1
1,5,4,43,2,7
5,5,5,98,4,3
4,5,4,88,3,2
1,2,1,24,5,1
3,5,4,74,6,4
3,5,3,62,7,6
5,4,5,99,4,3
2,5,5,68,7,4
5,5,4,91,3,2
5,5,5,98,4,3
1,2,3,25,5,1
3,5,5,76,6,4
1,1,1,25,5,1
1,5,3,31,5,1
4,5,5,96,4,3
1,1,1,28,5,1
2,5,5,68,7,4
5,3,2,67,7,4
4,5,2,89,3,2
1,3,3,40,2,7
1,3,4,50,1,7
5,5,3,82,6,5
1,4,1,27,5,1
3,5,4,81,6,5
2,5,3,43,2,7
1,3,5,49,1,7
5,5,5,90,3,2
1,5,3,32,5,1
5,5,5,92,3,2
4,5,5,89,3,2
2,5,4,48,1,7
1,5,4,39,2,7
4,5,5,99,4,3
3,5,5,93,3,2
1,5,5,58,1,6
1,5,3,46,2,7
3,3,3,75,6,4
1,3,1,31,5,1
1,1,1,24,5,1
4,5,5,94,4,3
4,5,4,89,3,2
3,5,3,82,6,5
4,5,4,81,6,5
1,3,1,31,5,1
5,4,3,62,7,6
3,2,4,68,7,4
3,3,3,74,6,4
5,5,5,98,4,3
1,4,3,30,5,1
5,5,5,87,3,2
3,4,3,73,6,4
2,3,4,53,1,6
4,5,4,89,3,2
3,5,5,82,6,5
4,5,5,77,6,5
4,4,4,97,4,3
3,4,5,90,3,2
5,5,5,95,4,3
5,5,5,94,4,3
3,5,5,87,3,2
1,5,5,28,5,1
2,1,1,24,5,1
4,5,4,89,3,2
3,3,5,66,7,4
1,5,1,24,5,1
5,5,4,76,6,4
4,4,3,91,3,2
1,4,3,42,2,7
3,5,4,74,6,4
2,5,4,46,2,7
4,5,5,98,4,3
1,5,5,63,7,6
3,5,3,92,3,2
3,4,5,78,6,5
1,5,3,38,2,7
3,2,5,76,6,4
2,5,5,82,6,5
3,5,3,63,7,6
1,2,1,23,5,1
3,5,5,98,4,3
4,5,2,77,6,5
4,4,4,92,3,2
4,5,5,75,6,4
5,5,5,97,4,3
4,5,5,99,4,3
3,4,3,90,3,2
3,4,5,90,3,2
3,3,3,65,7,6
3,3,1,56,1,6
2,5,3,63,7,6
2,5,3,55,1,6
1,4,4,51,1,7
3,5,5,56,1,6
2,5,3,41,2,7
2,4,3,41,2,7
3,4,3,49,1,7
3,5,5,82,6,5
5,5,5,95,4,3
5,3,4,92,3,2
5,1,5,94,4,3
4,5,5,97,4,3
1,3,2,33,5,1
4,5,5,95,4,3
1,1,1,23,5,1
3,5,5,93,3,2
3,5,3,73,6,4
2,5,5,48,1,7
5,5,5,94,4,3
3,5,4,81,6,5
5,5,5,99,4,3
3,5,5,97,4,3
2,4,3,63,7,6
3,4,3,73,6,4
5,3,3,95,4,3
3,5,5,94,4,3
3,5,5,92,3,2
2,4,3,53,1,6
5,5,5,94,4,3
1,3,1,31,5,1
1,3,3,25,5,1
1,5,3,31,5,1
3,5,3,76,6,4
4,4,4,91,3,2
2,3,1,29,5,1
3,5,5,93,3,2
1,5,5,28,5,1
3,5,5,77,6,5
5,5,3,95,4,3
1,2,3,25,5,1
5,5,5,88,3,2
3,3,5,43,2,7
5,5,3,85,3,5
2,5,3,43,2,7
3,4,3,80,6,5
3,5,5,89,3,2
3,3,5,66,7,4
1,4,3,38,2,7
1,5,5,45,2,7
4,5,5,88,3,2
5,5,5,92,3,2
