compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
1,1,1,21,2,2,5
1,1,1,22,2,2,5
1,1,2,23,2,2,3
1,1,2,24,2,2,3
1,1,3,23,2,2,17
1,1,3,24,2,2,17
1,1,4,31,2,2,14
1,1,4,32,2,2,14
1,1,5,43,2,2,4
1,1,5,44,2,2,4
1,2,1,21,2,2,5
1,2,1,22,2,2,5
1,2,2,26,2,2,3
1,2,2,27,2,2,3
1,2,3,27,2,2,17
1,2,3,28,2,2,17
1,2,4,32,2,2,14
1,2,4,33,2,2,14
1,2,5,38,2,2,4
1,2,5,39,2,2,4
1,3,1,27,2,4,5
1,3,1,28,2,4,12
1,3,2,27,2,4,3
1,3,2,28,2,4,3
1,3,3,32,2,4,17
1,3,3,33,2,4,17
1,3,4,38,2,4,14
1,3,4,39,2,4,14
1,3,5,43,2,4,4
1,3,5,44,2,4,4
1,4,1,23,2,4,5
1,4,1,24,2,4,5
1,4,2,25,2,4,3
1,4,2,26,2,4,3
1,4,3,31,2,4,17
1,4,3,32,2,4,17
1,4,4,41,2,4,2
1,4,4,42,2,4,2
1,4,5,49,2,4,19
1,4,5,50,2,4,19
1,5,1,21,2,4,5
1,5,1,22,2,4,5
1,5,2,26,2,4,3
1,5,2,27,2,4,3
1,5,3,31,2,4,17
1,5,3,32,2,4,17
1,5,4,39,2,4,14
1,5,4,40,2,4,2
1,5,5,48,2,4,19
1,5,5,49,2,4,19
2,1,1,24,2,2,5
2,1,1,25,2,2,5
2,1,2,36,2,2,10
2,1,2,37,2,2,10
2,1,3,44,2,2,8
2,1,3,45,2,2,8
2,1,4,45,2,2,2
2,1,4,46,2,2,2
2,1,5,47,2,2,19
2,1,5,48,2,2,19
2,2,1,33,2,2,12
2,2,1,34,2,2,12
2,2,2,41,2,2,10
2,2,2,42,2,2,10
2,2,3,45,2,2,8
2,2,3,46,2,2,8
2,2,4,43,2,2,2
2,2,4,44,2,2,2
2,2,5,42,2,2,4
2,2,5,43,2,2,4
2,3,1,30,2,4,12
2,3,1,31,2,4,12
2,3,2,42,2,4,10
2,3,2,43,2,4,10
2,3,3,48,2,4,8
2,3,3,49,2,4,8
2,3,4,46,2,4,2
2,3,4,47,2,4,2
2,3,5,46,2,4,19
2,3,5,47,2,4,19
2,4,1,33,2,4,12
2,4,1,34,2,4,12
2,4,2,38,2,4,10
2,4,2,39,2,4,10
2,4,3,44,2,4,8
2,4,3,45,2,4,8
2,4,4,46,2,4,2
2,4,4,47,2,4,2
2,4,5,51,2,4,19
2,4,5,52,2,4,19
2,5,1,32,2,4,12
2,5,1,33,2,4,12
2,5,2,35,2,4,10
2,5,2,36,2,4,10
2,5,3,37,2,4,17
2,5,3,38,2,4,17
2,5,4,42,2,4,2
2,5,4,43,2,4,2
2,5,5,52,2,4,19
2,5,5,53,2,4,19
3,1,1,41,2,2,13
3,1,1,42,2,2,13
3,1,2,42,2,2,10
3,1,2,43,2,2,10
3,1,3,51,2,2,8
3,1,3,52,2,2,8
3,1,4,59,1,3,11
3,1,4,60,1,3,11
3,1,5,66,1,3,1
3,1,5,67,1,3,1
3,2,1,41,2,2,13
3,2,1,42,2,2,13
3,2,2,45,2,2,10
3,2,2,46,2,2,6
3,2,3,55,1,3,16
3,2,3,56,1,3,16
3,2,4,60,1,3,11
3,2,4,61,1,3,11
3,2,5,65,1,3,1
3,2,5,66,1,3,1
3,3,1,48,2,4,13
3,3,1,49,2,4,13
3,3,2,50,2,4,6
3,3,2,51,2,4,6
3,3,3,57,1,3,16
3,3,3,58,1,3,16
3,3,4,62,1,3,11
3,3,4,63,1,3,11
3,3,5,64,1,3,1
3,3,5,65,1,3,1
3,4,1,45,2,4,13
3,4,1,46,2,4,13
3,4,2,53,2,4,6
3,4,2,54,2,4,6
3,4,3,62,1,1,16
3,4,3,63,1,1,16
3,4,4,67,1,1,11
3,4,4,68,1,1,11
3,4,5,69,1,1,1
3,4,5,70,1,1,1
3,5,1,43,2,4,13
3,5,1,44,2,4,13
3,5,2,50,2,4,6
3,5,2,51,2,4,6
3,5,3,62,1,1,16
3,5,3,63,1,1,16
3,5,4,66,1,1,11
3,5,4,67,1,1,11
3,5,5,68,1,1,1
3,5,5,69,1,1,1
4,1,1,60,1,3,18
4,1,1,61,1,3,18
4,1,2,60,1,3,7
4,1,2,61,1,3,7
4,1,3,58,1,3,16
4,1,3,59,1,3,16
4,1,4,64,1,3,11
4,1,4,65,1,3,11
4,1,5,72,1,3,1
4,1,5,73,1,3,1
4,2,1,57,1,3,18
4,2,1,58,1,3,18
4,2,2,58,1,3,7
4,2,2,59,1,3,7
4,2,3,62,1,3,16
4,2,3,63,1,3,16
4,2,4,70,1,3,11
4,2,4,71,1,3,11
4,2,5,75,1,3,1
4,2,5,76,1,3,1
4,3,1,59,1,3,18
4,3,1,60,1,3,18
4,3,2,60,1,3,7
4,3,2,61,1,3,7
4,3,3,63,1,3,16
4,3,3,64,1,3,16
4,3,4,70,1,3,11
4,3,4,71,1,3,11
4,3,5,75,1,3,1
4,3,5,76,1,3,1
4,4,1,63,1,1,18
4,4,1,64,1,1,18
4,4,2,63,1,1,7
4,4,2,64,1,1,7
4,4,3,65,1,1,16
4,4,3,66,1,1,16
4,4,4,71,1,1,11
4,4,4,72,1,1,11
4,4,5,75,1,1,1
4,4,5,76,1,1,1
4,5,1,61,1,1,18
4,5,1,62,1,1,18
4,5,2,65,1,1,7
4,5,2,66,1,1,7
4,5,3,69,1,1,16
4,5,3,70,1,1,16
4,5,4,76,1,1,15
4,5,4,77,1,1,15
4,5,5,81,1,1,15
4,5,5,82,1,1,15
5,1,1,79,1,3,20
5,1,1,80,1,3,20
5,1,2,78,1,3,9
5,1,2,79,1,3,9
5,1,3,78,1,3,9
5,1,3,79,1,3,9
5,1,4,73,1,3,11
5,1,4,74,1,3,11
5,1,5,78,1,3,15
5,1,5,79,1,3,15
5,2,1,75,1,3,20
5,2,1,76,1,3,20
5,2,2,75,1,3,9
5,2,2,76,1,3,9
5,2,3,77,1,3,9
5,2,3,78,1,3,9
5,2,4,76,1,3,15
5,2,4,77,1,3,15
5,2,5,83,1,3,15
5,2,5,84,1,3,15
5,3,1,73,1,3,20
5,3,1,74,1,3,20
5,3,2,75,1,3,9
5,3,2,76,1,3,9
5,3,3,79,1,3,9
5,3,3,80,1,3,9
5,3,4,79,1,3,15
5,3,4,80,1,3,15
5,3,5,85,1,3,15
5,3,5,86,1,3,15
5,4,1,76,1,1,20
5,4,1,77,1,1,20
5,4,2,75,1,1,9
5,4,2,76,1,1,9
5,4,3,76,1,1,9
5,4,3,77,1,1,9
5,4,4,77,1,1,15
5,4,4,78,1,1,15
5,4,5,84,1,1,15
5,4,5,85,1,1,15
5,5,1,79,1,1,20
5,5,1,80,1,1,20
5,5,2,78,1,1,9
5,5,2,79,1,1,9
5,5,3,77,1,1,9
5,5,3,78,1,1,9
5,5,4,79,1,1,15
5,5,4,80,1,1,15
5,5,5,84,1,1,15
5,5,5,85,1,1,15
