compl,accel,decel,result,cluster_cr,cluster_ar,cluster_dr
5,5,5,100,1,1,13
5,5,5,99,1,1,13
5,4,5,99,1,1,13
4,5,5,99,1,1,13
4,5,5,99,1,1,13
5,5,5,99,1,1,13
5,5,5,98,1,1,13
5,5,5,98,1,1,13
5,5,5,98,1,1,13
4,5,5,98,1,1,13
4,4,4,97,1,1,6
5,5,5,97,1,1,13
4,5,5,97,1,1,13
4,5,5,96,1,1,13
5,5,5,95,1,1,13
5,5,5,95,1,1,13
4,5,5,95,1,1,13
5,3,3,95,1,1,17
5,5,3,95,1,1,17
4,5,5,94,1,1,13
5,5,5,94,1,1,13
5,1,5,94,1,3,13
5,5,5,94,1,1,13
5,5,5,94,1,1,13
5,5,5,92,1,1,13
4,4,4,92,1,1,6
5,3,4,92,1,1,11
5,5,5,92,1,1,13
5,5,5,91,1,1,13
5,5,4,91,1,1,11
4,4,4,91,1,1,6
5,5,5,90,1,1,13
5,4,4,90,1,1,11
5,5,5,90,1,1,13
4,5,4,89,1,1,11
5,3,4,89,1,1,11
4,5,5,89,1,1,13
4,5,4,89,1,1,11
4,5,4,89,1,1,11
4,5,4,89,1,1,11
4,5,4,88,1,1,11
5,5,5,88,1,1,13
4,5,5,88,1,1,13
5,5,5,87,1,1,13
4,5,4,85,1,1,11
5,5,3,85,1,1,17
3,5,4,83,1,1,6
3,5,3,82,1,1,17
3,5,5,82,1,1,9
2,5,5,82,2,2,15
3,5,5,82,1,1,9
3,5,4,81,1,1,6
4,5,4,81,1,1,11
3,5,4,81,1,1,6
3,4,3,80,1,1,12
3,5,5,79,1,1,9
3,4,5,78,1,1,9
4,5,2,77,1,1,2
3,5,5,77,1,1,9
3,5,5,76,1,1,9
3,2,5,76,1,3,9
3,5,3,76,1,1,17
3,3,3,75,1,1,12
3,5,4,74,1,1,6
3,3,3,74,1,1,12
3,5,4,74,1,1,6
3,4,3,73,1,1,12
3,5,3,73,1,1,17
3,4,3,73,1,1,12
3,4,3,68,1,1,12
2,5,5,68,2,2,15
2,5,5,68,2,2,15
3,2,4,68,1,3,14
3,3,3,65,1,1,12
1,5,5,63,2,2,15
3,5,3,63,1,1,17
2,5,3,63,2,2,8
2,4,3,63,2,2,12
3,5,3,62,1,1,17
2,5,5,60,2,2,15
1,5,5,58,2,2,15
3,3,1,56,2,4,1
3,3,1,56,2,4,1
2,5,3,55,2,2,8
1,1,5,53,2,4,3
2,3,4,53,2,4,7
2,4,3,53,2,2,12
1,4,4,51,2,2,7
1,3,4,50,2,4,7
1,3,4,50,2,4,7
1,3,5,49,2,4,3
3,4,3,49,1,1,12
2,5,4,48,2,2,7
2,5,5,48,2,2,15
1,5,3,46,2,2,8
1,5,3,46,2,2,8
2,5,4,46,2,2,7
2,5,5,45,2,2,15
1,5,5,45,2,2,15
1,5,4,43,2,2,7
2,5,3,43,2,2,8
2,5,3,43,2,2,8
1,4,3,42,2,2,8
1,4,3,42,2,2,8
2,5,3,41,2,2,8
2,4,3,41,2,2,12
1,3,1,38,2,4,18
1,5,3,38,2,2,8
1,4,3,38,2,2,8
1,3,2,33,2,4,8
1,5,3,32,2,2,8
1,5,3,31,2,2,8
1,3,1,31,2,4,18
1,3,1,31,2,4,18
1,3,1,31,2,4,18
1,5,3,31,2,2,8
2,3,2,30,2,4,5
1,4,3,30,2,2,8
2,3,1,29,2,4,18
1,1,1,28,2,4,18
1,5,1,27,2,2,18
1,4,1,27,2,2,18
1,1,3,25,2,4,8
1,2,3,25,2,4,8
1,1,1,25,2,4,18
1,3,3,25,2,4,8
1,2,3,25,2,4,8
1,5,1,24,2,2,18
1,2,1,24,2,4,18
1,1,1,24,2,4,18
1,2,1,24,2,4,18
1,1,1,24,2,4,18
2,1,1,24,2,4,18
1,5,1,24,2,2,18
1,1,1,23,2,4,18
1,2,1,23,2,4,18
1,1,1,23,2,4,18
