compliance,acceleration,deceleration,result,cluster3,cluster_cd,cluster_ca,cluster_ad
1,5,1,19,3,2,2,2
2,4,1,20,1,2,3,2
3,1,1,21,1,2,3,2
2,1,1,21,1,2,3,2
2,4,1,21,1,2,3,2
4,1,1,23,1,2,3,2
2,1,1,23,1,2,3,2
2,5,1,23,1,2,3,2
3,1,1,24,1,2,3,2
2,2,1,25,1,2,3,2
1,3,2,26,1,2,3,2
4,5,1,26,2,3,1,3
1,2,3,27,1,2,3,2
3,4,1,27,2,2,1,2
1,2,1,27,1,2,3,2
1,4,1,28,1,2,3,2
1,4,2,29,1,2,2,2
1,1,4,30,1,2,3,2
1,3,3,30,3,2,2,2
1,4,2,30,3,2,2,2
4,1,1,30,1,2,3,2
2,3,1,30,1,2,3,2
5,5,1,31,4,1,4,4
1,2,5,32,3,3,2,3
1,2,5,33,3,3,2,3
1,4,4,33,3,3,2,3
2,1,2,33,1,2,3,2
1,2,5,34,3,3,2,3
2,2,3,34,1,2,3,2
1,3,2,34,1,2,3,2
5,2,1,34,4,1,4,4
1,2,5,35,3,3,2,3
1,5,4,36,3,3,2,3
1,5,3,36,3,3,2,3
2,2,3,38,1,2,3,2
2,3,2,39,1,2,3,2
1,3,5,40,3,3,2,3
1,4,4,40,3,3,2,3
1,5,5,41,4,3,4,3
1,5,4,41,3,3,2,3
2,2,3,41,1,2,3,2
2,4,3,41,3,3,2,3
4,2,1,41,1,2,3,2
2,5,4,42,3,3,2,3
2,3,4,43,3,3,2,3
2,5,2,43,3,3,2,3
5,4,1,43,2,4,1,1
1,3,5,44,3,3,2,3
2,1,3,44,1,2,3,2
4,2,1,44,1,2,3,2
5,4,2,46,4,1,4,4
2,5,4,47,3,3,4,3
3,3,1,47,1,2,3,2
2,3,5,48,3,3,2,3
1,4,5,48,3,3,2,3
1,1,5,49,3,2,2,2
5,1,3,49,2,1,1,4
2,3,5,50,3,3,2,3
4,1,3,50,2,4,1,1
5,4,2,50,4,1,4,4
2,2,5,51,3,3,2,3
2,3,5,51,3,3,2,3
1,4,5,51,3,3,2,3
3,3,5,52,4,1,4,4
1,1,5,52,3,2,2,2
3,2,2,52,1,2,3,2
2,3,5,53,3,3,2,3
2,4,5,53,4,3,4,4
1,1,5,53,3,2,2,2
3,2,1,53,1,2,3,2
2,1,4,54,1,2,3,2
5,1,3,54,2,1,1,4
5,1,3,56,2,1,1,4
3,2,3,57,2,4,1,1
4,2,2,58,2,1,1,4
3,2,2,58,1,2,3,2
3,5,2,60,2,3,1,3
5,5,2,61,4,1,4,4
5,4,3,62,4,1,4,4
5,5,2,62,4,1,4,4
3,4,5,63,4,1,4,4
5,2,3,63,4,1,4,4
5,3,2,63,4,1,4,4
4,4,2,63,2,4,1,1
3,5,2,63,2,4,1,3
3,4,3,65,2,4,1,1
4,4,2,65,4,4,1,4
3,5,2,65,2,3,1,3
5,2,3,66,4,1,4,4
3,3,3,67,2,4,1,1
3,4,5,68,4,1,4,4
3,3,3,68,2,4,1,1
3,4,3,68,2,4,1,1
4,4,2,69,4,4,1,1
4,5,2,69,4,1,4,4
3,4,4,71,4,1,4,4
4,4,5,72,4,1,4,4
3,5,4,72,4,1,4,4
4,2,3,72,2,4,1,1
4,4,3,72,4,1,4,4
4,5,2,72,4,1,4,4
2,1,5,74,3,3,2,3
3,5,4,74,4,1,4,4
5,1,4,75,4,1,4,4
3,1,4,75,2,4,1,1
4,4,5,76,4,1,4,4
4,3,4,77,4,1,4,4
4,5,4,77,4,1,4,4
4,4,5,78,4,1,4,4
4,2,4,78,4,1,4,4
4,5,2,78,4,1,4,4
4,4,4,79,4,1,4,4
3,1,5,80,2,4,1,1
4,5,5,81,4,1,4,4
4,4,3,81,4,1,4,4
