compliance,acceleration,deceleration,result,cluster3,cluster2
1,5,1,19,7,4
2,4,1,20,7,7
3,1,1,21,10,9
2,1,1,21,10,9
2,4,1,21,7,7
4,1,1,23,10,9
2,1,1,23,10,9
2,5,1,23,9,7
3,1,1,24,10,9
2,2,1,25,10,9
1,3,2,26,10,9
4,5,1,26,6,2
1,2,3,27,10,9
3,4,1,27,9,7
1,2,1,27,10,9
1,4,1,28,7,4
1,4,2,29,7,4
1,1,4,30,10,9
1,3,3,30,7,4
1,4,2,30,7,4
4,1,1,30,10,9
2,3,1,30,10,9
5,5,1,31,1,5
1,2,5,32,5,4
1,2,5,33,5,4
1,4,4,33,7,4
2,1,2,33,10,9
1,2,5,34,7,4
2,2,3,34,10,9
1,3,2,34,10,9
5,2,1,34,1,5
1,2,5,35,5,4
1,5,4,36,7,4
1,5,3,36,7,4
2,2,3,38,10,9
2,3,2,39,9,7
1,3,5,40,7,4
1,4,4,40,7,4
1,5,5,41,7,5
1,5,4,41,7,4
2,2,3,41,10,9
2,4,3,41,7,4
4,2,1,41,10,9
2,5,4,42,7,4
2,3,4,43,7,4
2,5,2,43,7,4
5,4,1,43,1,5
1,3,5,44,7,4
2,1,3,44,10,9
4,2,1,44,10,9
5,4,2,46,1,5
2,5,4,47,7,4
3,3,1,47,10,9
2,3,5,48,5,5
1,4,5,48,7,4
1,1,5,49,10,9
5,1,3,49,6,5
2,3,5,50,5,5
4,1,3,50,6,5
5,4,2,50,1,5
2,2,5,51,5,3
2,3,5,51,5,5
1,4,5,51,7,4
3,3,5,52,1,5
1,1,5,52,10,9
3,2,2,52,10,9
2,3,5,53,5,5
2,4,5,53,1,5
1,1,5,53,10,9
3,2,1,53,10,9
2,1,4,54,10,9
5,1,3,54,6,5
5,1,3,56,6,5
3,2,3,57,5,1
4,2,2,58,1,5
3,2,2,58,10,9
3,5,2,60,1,5
5,5,2,61,1,5
5,4,3,62,1,5
5,5,2,62,1,5
3,4,5,63,2,5
5,2,3,63,1,5
5,3,2,63,1,5
4,4,2,63,1,5
3,5,2,63,1,5
3,4,3,65,8,6
4,4,2,65,1,5
3,5,2,65,1,5
5,2,3,66,6,5
3,3,3,67,6,5
3,4,5,68,2,5
3,3,3,68,6,1
3,4,3,68,8,6
4,4,2,69,1,5
4,5,2,69,1,5
3,4,4,71,1,5
4,4,5,72,2,5
3,5,4,72,1,5
4,2,3,72,6,5
4,4,3,72,1,5
4,5,2,72,1,5
2,1,5,74,5,3
3,5,4,74,1,5
5,1,4,75,1,5
3,1,4,75,1,5
4,4,5,76,2,5
4,3,4,77,1,5
4,5,4,77,2,5
4,4,5,78,2,5
4,2,4,78,1,5
4,5,2,78,1,5
4,4,4,79,1,5
3,1,5,80,1,5
4,5,5,81,2,8
4,4,3,81,1,5
5,5,5,82,2,8
5,3,4,82,2,5
3,1,5,83,1,5
5,1,5,84,2,8
4,2,5,87,2,5
5,4,5,88,2,8
4,1,5,89,1,5
4,2,5,89,2,5
5,2,5,94,2,5
5,2,5,96,2,5
1,5,1,18,7,4
1,1,2,20,10,9
1,1,2,21,10,9
1,2,3,22,10,9
1,1,2,22,10,9
4,4,1,22,8,6
2,2,1,23,10,9
1,2,2,24,10,9
4,1,1,24,10,9
3,4,1,25,9,7
5,5,1,26,1,5
1,4,2,27,7,4
2,3,1,27,10,9
2,5,1,27,9,7
2,5,1,28,9,7
1,3,3,29,7,4
2,1,2,29,10,9
5,1,1,29,10,9
3,4,1,29,9,7
1,4,3,30,7,4
1,3,2,30,10,9
5,5,1,30,1,5
1,5,2,31,7,4
1,1,4,32,10,9
1,3,3,32,7,4
4,1,2,32,10,9
1,5,4,33,7,4
3,1,2,33,10,9
1,3,3,34,7,4
3,1,2,34,10,9
1,4,2,34,7,4
1,3,1,34,10,9
4,1,2,35,10,9
3,1,2,36,10,9
2,3,2,36,9,7
1,5,3,37,7,4
5,2,1,37,1,5
2,2,2,38,10,9
5,4,1,38,8,6
2,2,4,39,5,3
1,3,4,39,7,4
4,1,2,39,10,9
2,2,2,39,10,9
2,4,2,39,7,4
4,2,1,39,10,9
1,5,4,40,7,4
5,2,2,41,1,5
4,1,2,41,10,9
2,4,2,41,7,4
1,3,5,42,7,4
3,3,1,42,10,9
2,2,4,43,5,3
2,5,4,43,7,4
2,4,2,43,7,4
1,4,5,44,7,4
1,5,5,44,7,4
2,2,4,45,5,3
3,3,1,46,10,9
1,3,4,47,7,4
2,5,2,47,7,4
2,5,3,48,7,4
3,3,1,48,10,9
2,3,5,49,5,5
3,2,2,54,10,9
4,1,3,55,6,5
3,3,5,56,1,5
5,5,2,56,1,5
4,2,2,56,1,5
2,5,5,57,1,5
4,1,3,57,6,5
3,2,1,57,10,9
2,1,4,58,10,9
5,4,3,58,1,5
2,1,4,59,10,9
3,3,5,60,1,5
5,3,2,61,1,5
4,4,2,61,1,5
4,2,2,62,1,5
4,2,2,64,1,5
3,2,5,65,1,5
2,1,5,65,5,3
3,2,4,65,1,5
3,5,3,65,1,5
3,1,4,66,1,5
4,3,3,66,1,5
3,3,2,66,6,6
4,3,1,66,9,7
5,2,3,67,1,5
3,3,2,68,9,6
4,3,1,68,9,7
3,2,5,69,1,5
3,1,4,69,1,5
3,5,3,69,1,5
3,3,2,69,9,7
4,3,3,71,1,5
3,3,2,71,8,6
2,1,5,72,5,3
5,5,3,72,1,5
4,3,3,72,1,5
4,1,4,73,1,5
4,5,2,73,1,5
3,1,4,74,1,5
3,5,5,75,2,5
5,4,4,76,1,5
5,5,3,76,1,5
4,2,3,76,6,5
5,4,4,79,1,5
4,5,3,79,1,5
4,5,4,81,2,5
5,3,3,81,1,5
5,1,5,82,2,5
5,5,4,82,2,8
4,2,5,83,1,5
4,2,5,84,1,5
5,2,4,84,1,5
4,1,5,85,1,5
4,2,5,85,2,5
3,1,5,85,1,5
5,3,5,86,2,8
5,5,5,86,2,8
5,3,5,87,2,8
5,3,5,88,2,8
3,1,5,88,1,5
5,4,5,89,2,8
5,2,4,91,1,5
1,1,2,15,10,9
1,2,1,19,10,9
2,1,1,20,10,9
1,1,1,20,10,9
1,1,3,21,10,9
1,2,3,21,10,9
1,4,1,22,7,4
3,4,1,23,9,7
1,1,2,24,10,9
1,2,3,25,10,9
2,3,1,25,10,9
2,5,1,25,9,7
1,3,1,26,10,9
1,1,3,27,10,9
1,3,2,27,10,9
1,3,2,28,10,9
1,1,1,28,10,9
1,2,3,29,10,9
4,1,1,29,10,9
4,5,1,29,6,5
2,5,1,29,9,7
1,2,4,30,7,4
1,3,2,31,10,9
4,1,1,31,10,9
1,5,3,32,7,4
1,4,2,32,7,4
5,2,1,32,1,5
2,3,2,33,9,7
1,3,2,33,10,9
1,5,2,33,7,4
1,4,3,34,7,4
2,1,2,34,10,9
2,2,3,35,10,9
1,5,2,35,7,4
1,5,5,36,7,5
2,3,3,36,7,4
1,3,3,36,7,4
2,4,2,36,7,4
1,5,4,37,7,4
1,1,4,38,10,9
1,4,4,38,7,4
2,2,3,39,10,9
2,2,4,40,5,3
2,4,3,40,7,4
5,2,2,40,1,5
4,2,1,40,10,9
3,1,2,41,10,9
5,4,1,41,6,6
3,3,1,41,10,9
1,5,5,42,7,5
3,1,2,42,10,9
5,2,2,43,1,5
1,3,4,44,7,4
2,4,2,44,7,4
2,5,3,45,7,4
1,3,5,46,7,4
2,5,3,46,7,4
1,3,5,48,7,4
2,4,3,48,7,4
