compliance,acceleration,deceleration,result,cluster3,cluster2
3,5,4,94,2,8
1,5,1,27,10,9
1,4,3,42,7,4
1,5,1,24,10,9
4,5,5,75,8,6
1,1,3,25,10,9
3,4,5,45,7,4
5,5,5,91,1,5
3,5,4,83,3,10
1,5,3,46,7,4
2,3,2,30,9,7
3,5,5,95,2,8
5,5,5,100,2,8
3,5,5,79,3,10
4,4,3,91,1,5
4,5,4,89,1,5
3,5,4,59,6,2
4,5,4,85,4,10
5,5,5,90,1,5
3,5,3,92,1,5
5,5,5,99,2,8
3,3,1,35,9,7
5,1,1,32,9,7
1,3,1,38,7,4
1,1,1,23,10,9
2,5,5,45,7,4
4,5,5,70,8,1
5,4,4,90,1,5
5,3,1,94,2,8
5,5,1,31,9,7
3,5,5,91,1,5
3,3,1,56,5,2
1,2,1,24,10,9
3,5,5,87,4,5
3,4,3,68,6,1
1,1,5,53,5,3
1,3,4,50,5,3
5,4,3,62,6,2
5,3,4,89,1,5
2,5,5,60,6,2
5,5,1,31,9,7
1,1,1,24,10,9
1,5,4,43,7,4
5,5,5,98,2,8
4,5,4,88,4,5
1,2,1,24,10,9
3,5,4,74,8,6
3,5,3,62,6,2
5,4,5,99,2,8
2,5,5,68,6,1
5,5,4,91,1,5
5,5,5,98,2,8
1,2,3,25,10,9
3,5,5,76,8,6
1,1,1,25,10,9
1,5,3,31,9,7
4,5,5,96,2,8
1,1,1,28,10,9
2,5,5,68,6,1
5,3,2,67,6,1
4,5,2,89,1,5
1,3,3,40,7,4
1,3,4,50,5,3
5,5,3,82,3,10
1,4,1,27,10,9
3,5,4,81,3,10
2,5,3,43,7,4
1,3,5,49,5,3
5,5,5,90,1,5
1,5,3,32,9,7
5,5,5,92,1,5
4,5,5,89,1,5
2,5,4,48,5,3
1,5,4,39,7,4
4,5,5,99,2,8
3,5,5,93,1,5
1,5,5,58,5,2
1,5,3,46,7,4
3,3,3,75,8,6
1,3,1,31,9,7
1,1,1,24,10,9
4,5,5,94,2,8
4,5,4,89,1,5
3,5,3,82,3,10
4,5,4,81,3,10
1,3,1,31,9,7
5,4,3,62,6,2
3,2,4,68,6,1
3,3,3,74,8,6
5,5,5,98,2,8
1,4,3,30,9,7
5,5,5,87,4,5
3,4,3,73,8,6
2,3,4,53,5,3
4,5,4,89,1,5
3,5,5,82,3,10
4,5,5,77,8,6
4,4,4,97,2,8
3,4,5,90,1,5
5,5,5,95,2,8
5,5,5,94,2,8
3,5,5,87,4,5
1,5,5,28,9,9
2,1,1,24,10,9
4,5,4,89,1,5
3,3,5,66,6,1
1,5,1,24,10,9
5,5,4,76,8,6
4,4,3,91,1,5
1,4,3,42,7,4
3,5,4,74,8,6
2,5,4,46,7,4
4,5,5,98,2,8
1,5,5,63,6,1
3,5,3,92,1,5
3,4,5,78,8,6
1,5,3,38,7,4
3,2,5,76,8,6
2,5,5,82,3,10
3,5,3,63,6,1
1,2,1,23,10,9
3,5,5,98,2,8
4,5,2,77,8,6
4,4,4,92,1,5
4,5,5,75,8,6
5,5,5,97,2,8
4,5,5,99,2,8
3,4,3,90,1,5
3,4,5,90,1,5
3,3,3,65,6,1
3,3,1,56,5,2
2,5,3,63,6,1
2,5,3,55,5,2
1,4,4,51,5,3
3,5,5,56,5,2
2,5,3,41,7,4
2,4,3,41,7,4
3,4,3,49,5,3
3,5,5,82,3,10
5,5,5,95,2,8
5,3,4,92,1,5
5,1,5,94,2,8
4,5,5,97,2,8
1,3,2,33,9,7
4,5,5,95,2,8
1,1,1,23,10,9
3,5,5,93,1,5
3,5,3,73,8,6
2,5,5,48,5,3
5,5,5,94,2,8
3,5,4,81,3,10
5,5,5,99,2,8
3,5,5,97,2,8
2,4,3,63,6,1
3,4,3,73,8,6
5,3,3,95,2,8
3,5,5,94,2,8
3,5,5,92,1,5
2,4,3,53,5,3
5,5,5,94,2,8
1,3,1,31,9,7
1,3,3,25,10,9
1,5,3,31,9,7
3,5,3,76,8,6
4,4,4,91,1,5
2,3,1,29,9,7
3,5,5,93,1,5
1,5,5,28,9,9
3,5,5,77,8,6
5,5,3,95,2,8
1,2,3,25,10,9
5,5,5,88,4,5
3,3,5,43,7,4
5,5,3,85,4,10
2,5,3,43,7,4
3,4,3,80,3,10
3,5,5,89,1,5
3,3,5,66,6,1
1,4,3,38,7,4
1,5,5,45,7,4
4,5,5,88,4,5
5,5,5,92,1,5
